type,longitude,latitude,NDVI,NDBI,BSI,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,distriver1,distriver2,bulk_density,slope,tri,ph,soc,clay,cec,lidar_elevation_value,label
earthwork,-67.07,-10.4828,0.42516625,-0.27719587,-0.215752976579877,25.87083244,10.00833321,71.48809052,74.69509125,32.29999924,18.29999924,14.0,26.13333321,24.85000038,26.56666565,24.81666565,1730,246,28,56.19494247,713,118,432,155,745101.5789,637444.3661,127.0,1.076475739479065,5.335647646019367,51.0,184.0,34.2,12.1,184.0,1
earthwork,-67.076,-10.2873,0.48198253,-0.22546527,-0.1536769046383914,26.03750038,10.125,71.3028183,74.74578094,32.59999847,18.39999962,14.19999886,26.29999924,25.01666641,26.73333359,24.98333359,1745,245,31,55.25250626,719,124,435,162,724860.1374,650022.5806,130.0,0.992471158504486,3.664982778326613,46.0,66.0,28.2,12.1,170.0,1
earthwork,-67.114,-10.4285,0.41886672,-0.15828209,-0.1324222047939246,25.85416603,10.0583334,71.84523773,74.75591278,32.29999924,18.29999924,14.0,26.13333321,24.83333397,26.53333282,24.79999924,1724,243,29,55.5255661,709,122,429,157,737653.9515,637177.1428,131.0,4.312537670135498,13.695092389449425,47.0,72.0,25.6,12.0,204.0,1
earthwork,-67.209,-10.4633,0.35560784,-0.05967465,-0.0441017316017316,25.71666718,10.0,70.92198944,76.52490234,32.20000076,18.10000038,14.10000038,26.0,24.66666603,26.41666794,24.63333321,1706,239,32,54.14783478,695,129,426,162,737249.354,626542.3685,131.0,0.5832093954086304,1.5234788000886492,47.0,98.0,33.5,11.6,144.0,1
earthwork,-67.22,-10.3069,0.5142025,-0.110539846,-0.0745765233997172,25.96249962,10.40833378,70.80498505,77.52198792,32.70000076,18.0,14.70000076,26.25,24.91666603,26.66666603,24.85000038,1745,238,36,51.74256516,702,142,441,173,720683.5084,636270.9789,134.0,0.5796620845794678,2.2498285257020028,47.0,78.0,26.9,14.8,186.0,1
earthwork,-67.295,-10.4126,0.42933324,-0.12942162,-0.0878908132068364,25.85833359,10.0,70.92199707,78.59078979,32.29999924,18.20000076,14.09999847,26.18333435,24.78333282,26.54999924,24.73333359,1688,234,35,52.51320648,683,141,422,165,728510.7833,622533.4697,129.0,2.124000072479248,6.860155129081444,51.0,73.0,23.4,13.0,214.0,1
earthwork,-67.034,-10.1274,0.42694363,-0.12285154,-0.0816585430994191,25.77083397,10.52499962,71.59864044,75.08959198,32.59999847,17.89999962,14.69999886,26.03333282,24.78333282,26.48333359,24.70000076,1786,253,28,55.60307312,739,118,449,166,710475.0964,664664.0443,134.0,0.9924070239067078,4.570436400267363,45.0,104.0,23.3,14.7,212.0,1
earthwork,-67.554,-10.0755,0.45048654,-0.12998885,-0.0896107416133269,25.48333359,10.48333359,70.35794067,82.41617584,32.29999924,17.39999962,14.89999962,25.86666679,24.35000038,26.16666603,24.28333282,1684,216,53,42.724617,640,195,425,208,683304.933,625127.8499,135.0,1.6640844345092771,9.309493362512628,48.0,128.0,21.876,19.82,204.0,1
earthwork,-67.26,-10.0021,0.45643014,-0.16582398,-0.1257023105641547,25.54583359,10.5583334,71.34008789,76.82501984,32.40000153,17.60000038,14.80000114,25.85000038,24.51666641,26.25,24.43333435,1769,247,36,51.43112183,718,147,441,185,687717.5177,654608.5978,128.0,3.194931745529175,9.941805981452276,48.0,118.0,24.2,15.7,232.0,1
earthwork,-67.715,-10.6636,0.42394972,-0.08950871,-0.0343579089367469,25.60833359,10.25,69.72789764,84.55318451,32.29999924,17.60000038,14.69999886,26.0,24.43333435,26.35000038,24.39999962,1687,238,39,51.16856766,673,148,528,168,739407.0308,569114.1437,132.0,0.8576859831809998,10.0,46.0,79.0,21.40296,11.94848,184.0,1
